input,output
KLF Nirmal Virgin Coconut Oil,"Atta, Rice, Oil & Dals > Oil"
Daawat Pulav Rice,"Atta, Rice, Oil & Dals > Rice & Cereals"
Ensure Chocolate Box - J,"Tea, Coffee & More > Health Drink Mixes"
Dove Hair Fall Rescue Shampoo,Bath & Body > Shampoo & Conditioner
Neutrogena Oil Free Acne Face Wash,Bath & Body > Face Wash & Packs
L'Oreal Paris Excellence Creme Hair Color 3.16 Burgundy,Bath & Body > Hair Colour & Cream
Sundrop Heart Oil - Vegetable,"Atta, Rice, Oil & Dals > Oil"
"Red Label Natural Care Tea, with 5 Ayurvedic Ingredients","Tea, Coffee & More > Tea"
Ezee Aluminium Foil 72 Mtr,Home Needs > Tissues & Disposables
Organic India Vitality Ayurvedic Capsule,Health & Baby Care > Vitamins & Digestive care
Heritage Cow Ghee,"Atta, Rice, Oil & Dals > Ghee"
L'Oreal Casting Creme Ebony Black Hair Color,Bath & Body > Hair Colour & Cream
L'Oreal Paris Casting Creme Gloss Hair Color (Dark Brown 400),Bath & Body > Hair Colour & Cream
Bagrrys No Added Sugar Crunchy Muesli,Breakfast & Sauces > Breakfast Cereals
"L'Oreal Paris Excellence Creme Hair Color, 3.16 Burgundy",Bath & Body > Hair Colour & Cream
Jimmy's Cocktails Festive Byob With Bar Blade,Cold Drinks & Juices > Soda & Mixers
Bagrry's Fruit Fibre Muesli Mixed Fruit,Breakfast & Sauces > Breakfast Cereals
Aashirvaad Svasti Cow Ghee,"Atta, Rice, Oil & Dals > Ghee"
Popular Essentials Cashew Whole,"Masala, Dry Fruits & More > Dry Fruits & Seeds"
Loreal Paris Extraordinary Oil Serum,Bath & Body > Hair Oil & Serums
Sebamed Baby Bath Face & Body Wash Foam,Health & Baby Care > Baby Bath & Skin
Saffola Gold Refined Cooking Oil Jar,"Atta, Rice, Oil & Dals > Oil"
Pediasure Health & Nutrition Drink Powder Vanilla Pouch,"Tea, Coffee & More > Health Drink Mixes"
Shree Akshara Premium Sona Masoori Rice (Raw),"Atta, Rice, Oil & Dals > Rice & Cereals"
Gillette Fusion Proglide Flexball Manual Shaving Razor Blades Cartridge,Hygiene & Grooming > Men's Grooming
L'Oreal Paris Shine Masque Royal Jelly Hair Colour,Bath & Body > Shampoo & Conditioner
Gillette Fusion5 Power Cartridges,Hygiene & Grooming > Men's Grooming
Neutrogena Ultra Sheer Dry Touch Sunblock SPF,Bath & Body > Face & Body Creams
Popular Essentials Cashew Split,"Masala, Dry Fruits & More > Dry Fruits & Seeds"
Nestle Nangrow Nutritious Milk Drink - For Growing Children Creamy Vanilla,Packaged Food > Baby Food
Whisper Ultra Clean Sanitary Pads for Women XL,Hygiene & Grooming > Feminine Hygiene
Amul Ghee Tin,"Atta, Rice, Oil & Dals > Ghee"
Protinex Original Health And Nutritional Drink,"Tea, Coffee & More > Health Drink Mixes"
Dove Daily Shine Shampoo,Bath & Body > Shampoo & Conditioner
India Gate Basmati Rice Dubar,"Atta, Rice, Oil & Dals > Rice & Cereals"
Ziofit Walnut Kernels Extra Light Quarter Buy 1 Get 1 Free,"Masala, Dry Fruits & More > Dry Fruits & Seeds"
Ariel Matic Front Load Liquid Detergent,Cleaning Essentials > Laundry Detergents
Farmley Premium California Almonds Farmley Center Seal Pouch,"Masala, Dry Fruits & More > Dry Fruits & Seeds"
Farmley Premium Panchmewa Superfood Farmley Jar,"Masala, Dry Fruits & More > Dry Fruits & Seeds"
Protinex Tasty Chocolate Tin,"Tea, Coffee & More > Health Drink Mixes"
Protinex Vanilla Tin,"Tea, Coffee & More > Health Drink Mixes"
Red Label Tea,"Tea, Coffee & More > Tea"
Amul Ghee Tetrapack,"Atta, Rice, Oil & Dals > Ghee"
"Bagrry's Crunchy Muesli with Almonds, Raisins & Honey(40% Oat Clusters)",Breakfast & Sauces > Breakfast Cereals
Nestle Everyday Dairy Whitener,"Dairy, Bread & Eggs > Milk"
Nutraj Special Cashew W320,"Masala, Dry Fruits & More > Dry Fruits & Seeds"
Prime Tunga Premium Sona Masoori Rice (Raw),"Atta, Rice, Oil & Dals > Rice & Cereals"
Ferrero Rocher Chocolates,Sweet Cravings > Chocolates
Neutrogena Oil Free Facial Moisturizer SPF 15,Bath & Body > Face & Body Creams
"Nandini Pure Ghee,","Atta, Rice, Oil & Dals > Ghee"
Farmley Premium W320 Cashew Farmley Standee Pouch,"Masala, Dry Fruits & More > Dry Fruits & Seeds"
Surf Excel Matic Front Load Detergent Powder,Cleaning Essentials > Laundry Detergents
Fogg Impressio Scent For Men,Hygiene & Grooming > Fragrances & Deos
Daawat Rozana Gold Basmati Rice,"Atta, Rice, Oil & Dals > Rice & Cereals"
Pediasure Premium Chocolate Flavour Powdered Health Drink,"Tea, Coffee & More > Health Drink Mixes"
Whisper Ultra Night Sanitary Pads XL Plus,Hygiene & Grooming > Feminine Hygiene
Nutraj Daily Cashew Nuts Mono,"Masala, Dry Fruits & More > Dry Fruits & Seeds"
Plush Reusable Menstrual Cup - Small,Hygiene & Grooming > Feminine Hygiene
Wagh Bakri Premium Leaf Tea,"Tea, Coffee & More > Tea"
Cadbury Celebrations Rich Dry Fruit Collection,Sweet Cravings > Chocolates
Fortune Rozana Basmati Rice,"Atta, Rice, Oil & Dals > Rice & Cereals"
Fresh wrapp 72 meter Hindalco Aluminium Foil,Home Needs > Tissues & Disposables
Borges Olive Oil Classic,"Atta, Rice, Oil & Dals > Oil"
Goldmedal Logica-4X1 High Grade Surge Protector Spike Guard-2M cable 1 PIECE,Home Needs > Electricals
ELAN Superlara Printed Football Size 5- Assorted,Home Needs > Stationery & Games
boAt Bassheads 122 Wired Earphones With Heavy Bass Integrated Controls And Mic,Home Needs > Electricals
Papacream Icecream - Hazelnut Cold Coffee,Sweet Cravings > Ice Creams
Nestle Everyday Dairy Whitener,"Dairy, Bread & Eggs > Milk"
Blue Tokai Coffee Roasters Attikan Estate - Medium Dark Roast - French Press,"Tea, Coffee & More > Coffee"
TRESemme Keratin Smooth Shampoo,Bath & Body > Shampoo & Conditioner
"Twinings Earl Grey Tea,","Tea, Coffee & More > Tea"
Ariel Matic Top Load Liquid Detergent,Cleaning Essentials > Laundry Detergents
Ariel Matic Front Load Detergent Washing Powder,Cleaning Essentials > Laundry Detergents
"Unibic Multigrain Choco Honey,Dates & 5 Grains",Biscuits > Digestives
Henko Stain Care Powder,Cleaning Essentials > Laundry Detergents
Origami So Soft Tissue Roll 3 Ply,Home Needs > Tissues & Disposables
Lakme Absolute Perfect Radiance Skin Brightening Night Cream,Bath & Body > Face & Body Creams
Cream Bell Black Forest Ice Cream Cake,Sweet Cravings > Ice Creams
Aashirvaad Atta,"Atta, Rice, Oil & Dals > Atta & Other Flours"
Tide Double Power Jasmine Rose Detergent Powder 5 kg (4 + 1 KG Free),Cleaning Essentials > Laundry Detergents
Nutraj Daily California Almond Mono,"Masala, Dry Fruits & More > Dry Fruits & Seeds"
Butlers Mk Choco W Honeycomb Crunch,Munchies > Dry Fruits & Nuts
Popular Essentials Bullet Wada Kolam Rice,"Atta, Rice, Oil & Dals > Rice & Cereals"
"Whiskas Adult (+1 Year) Dry Cat Food, Ocean Fish Flavour",Packaged Food > Pet Food
Surf Excel Matic Top Load Detergent Powder,Cleaning Essentials > Laundry Detergents
India Gate Basmati Rice/Basmati Akki - Rozzana,"Atta, Rice, Oil & Dals > Rice & Cereals"
Dove Deep Moisture Body Wash,Bath & Body > Soaps
Sunsilk Stunning Black Shine Shampoo,Bath & Body > Shampoo & Conditioner
Sebamed Fresh Shower,Bath & Body > Shower Gels
Delight Nuts Dried Blueberries,"Masala, Dry Fruits & More > Dry Fruits & Seeds"
Bagrry's Crunchy Muesli 30% Fruit & Nut with Cranberries | 34% Rich Fibre Oats,Breakfast & Sauces > Breakfast Cereals
Surf Excel Matic Front Load Liquid Detergent,Cleaning Essentials > Laundry Detergents
Comfort After Wash Morning Fresh Fabric Conditioner,Cleaning Essentials > Laundry Detergents
Pillsbury Chakki Fresh Atta,"Atta, Rice, Oil & Dals > Atta & Other Flours"
STARBUCKS COFEE MOCHA,"Tea, Coffee & More > Coffee"
Papacream Icecream - Brownie Batter Crunch,Sweet Cravings > Ice Creams
Gillette Venus Comfort Glide,Hygiene & Grooming > Hair Removal & Make up
Durex Play Lubricant gel Tingling,Health & Baby Care > Sexual Wellness
Durex Play Lubricant Gel Saucy Strawberry,Health & Baby Care > Sexual Wellness
Nescafe Gold Blend Coffee,"Tea, Coffee & More > Coffee"
Ziofit Indian Whole Cashewnuts Buy 1 Get 1 Free,"Masala, Dry Fruits & More > Dry Fruits & Seeds"
Whiskas Kitten (2-12 months) Dry Cat Food Food Ocean Fish,Packaged Food > Pet Food
Ziofit Indian Long Raisins  Buy 1 Get 1 Free,"Masala, Dry Fruits & More > Dry Fruits & Seeds"
Ariel Matic Front Load Liquid Detergent,Cleaning Essentials > Laundry Detergents
Surf Excel Quick Wash,Cleaning Essentials > Laundry Detergents
Shree Akshara Premium Steam Sona Masoori Rice (Polished),"Atta, Rice, Oil & Dals > Rice & Cereals"
Shree Guruji Keshar Sharbat,Cold Drinks & Juices > Instant Drink Mixes
Whiskas Adult (+1 year) Dry Cat Food Food Chicken Flavour,Packaged Food > Pet Food
Shree Guruji Badam Sharbat,Cold Drinks & Juices > Instant Drink Mixes
Papacream Icecream - The Chocolate Influencer,Sweet Cravings > Ice Creams
Conscious Food Coconut Oil Organic Cold Pressed,"Atta, Rice, Oil & Dals > Oil"
Bajaj Almond Drops Hair Oil,Bath & Body > Hair Oil & Serums
Ariel Matic Top Load Detergent Washing Powder,Cleaning Essentials > Laundry Detergents
Indulekha Bhringa Hair Oil,Bath & Body > Hair Oil & Serums
Venkys Chicken Nuggets,Packaged Food > Non Veg - Frozen
Red Bull Energy Drink Pack Of 4,Cold Drinks & Juices > Non-Alco & Energy Drink
Daawat Rozana Super 90 Rice,"Atta, Rice, Oil & Dals > Rice & Cereals"
The Ayurveda Co. Hair Shampoo For Hair Growth With Methi Bhringraj Amla & Hydrolyzed Keratin,Bath & Body > Shampoo & Conditioner
Papacream Icecream - Hazelnut Choco Crispies,Sweet Cravings > Ice Creams
I-activ Menstrual Cup (Large) with Reusable Jute Bag,Hygiene & Grooming > Feminine Hygiene
Pediasure 7 Plus Vanilla Box,"Tea, Coffee & More > Health Drink Mixes"
Cadbury Celebrations Dark Noir Selection,Sweet Cravings > Chocolates
Durex Play Lubricant Gel - Cherry,Health & Baby Care > Sexual Wellness
Baskin Robbins Dutch Chocolate,Sweet Cravings > Ice Creams
Conscious Food Wild Forest Honey Natural & Pure,Breakfast & Sauces > Honey & Spreads
Lindt Choco Cocoa 90 % Dark Supreme Noir Chocolate,Sweet Cravings > Chocolates
Vim Dishwash Liquid Gel Lemon Refill Pouch,Cleaning Essentials > Kitchen Cleaning
Goldmedal Krysta extension cord -5 Meters cable,Home Needs > Electricals
Popular Essentials Tamil Ponni Boiled Rice,"Atta, Rice, Oil & Dals > Rice & Cereals"
"Bagrry's Crunchy Muesli with Almonds, Raisins & Honey (40% Oat Clusters)",Breakfast & Sauces > Breakfast Cereals
Vaseline Advanced Repair,Bath & Body > Hair Colour & Cream
Surf Excel Easy Wash Detergent Powder,Cleaning Essentials > Laundry Detergents
Amul Avsar Kaju Katri,Sweet Cravings > Indian Mithai
Cream Bell Golden Fantasy Ice Cream Cake,Sweet Cravings > Ice Creams
Saffola Gold Refined Cooking Oil (Jar),"Atta, Rice, Oil & Dals > Oil"
Baskin Robbins Alphanso Mango,Sweet Cravings > Ice Creams
Nutraj Cashew Broken (Large Pieces) Pouch,"Masala, Dry Fruits & More > Dry Fruits & Seeds"
GRB Ghee Bottle,"Atta, Rice, Oil & Dals > Ghee"
Taj Mahal Tea,"Tea, Coffee & More > Tea"
Fortune Chakki Fresh Atta,"Atta, Rice, Oil & Dals > Atta & Other Flours"
Dabur 100% Pure Honey - Worlds No.1,Breakfast & Sauces > Honey & Spreads
"3 Roses Natural Care Tea, with 5 Ayurvedic Ingredients","Tea, Coffee & More > Tea"
Keya Cardamom seed Powder,"Masala, Dry Fruits & More > Powders & Pastes"
Chuk baggase meal plate-12 inch,Home Needs > Tissues & Disposables
Plush Rash Free Sanitary Pads(16L+14XL),Hygiene & Grooming > Feminine Hygiene
Surf Excel Matic Liquid Detergent Top Load Pouch,Cleaning Essentials > Laundry Detergents
Softouch French Perfume,Cleaning Essentials > Laundry Detergents
India Gate Basmati Rice Mogra,"Atta, Rice, Oil & Dals > Rice & Cereals"
Daawat Sehat Mogra Rice,"Atta, Rice, Oil & Dals > Rice & Cereals"
Henko Matic Front Load Detergent,Cleaning Essentials > Laundry Detergents
Pampers Pampers New Diapers Pants Medium,Health & Baby Care > Diapers & Wipes
Lizol Disinfectant Surface & Floor Cleaner Liquid Citrus,Cleaning Essentials > Household Cleaners
boAt Bassheads 110 Wired Earphone With Mic,Home Needs > Electricals
Head & Shoulders 2 In 1 Anti Dandruff Smooth & Silky Shampoo+Conditioner,Bath & Body > Shampoo & Conditioner
Pampers Diaper Pants Small Diapers,Health & Baby Care > Diapers & Wipes
Pampers Diaper Pants - XL,Health & Baby Care > Diapers & Wipes
Amulya Dairy Whitener,"Dairy, Bread & Eggs > Milk"
Gillette Pro Shaving Gel Aqua Hydrating With Shea Butter,Hygiene & Grooming > Men's Grooming
Olay Natural Aura Glowing Radiance Cream,Bath & Body > Face & Body Creams
Mamy Poko Pants Extra Absorb Diapers M,Health & Baby Care > Diapers & Wipes
Nuttero Strawberry Dry Fruit,Fruits & Vegetables > Dried & Dehydrated Fruits
Open Secret Dark Choco Almond Chocolate Bars,Sweet Cravings > Chocolates
Durex Invisible Super Ultra Thin Condoms for Men,Health & Baby Care > Sexual Wellness
Popular Essentials Pista Salted (With Shell),"Masala, Dry Fruits & More > Dry Fruits & Seeds"
Ziofit Californian Almonds Buy 1 Get 1 Free,"Masala, Dry Fruits & More > Dry Fruits & Seeds"
Dabur Chyawanprash Awaleha,Health & Baby Care > Vitamins & Digestive care
All Out Ultra Refills,Cleaning Essentials > Repellents
Popular Essentials Classic Sona Masuri Rice,"Atta, Rice, Oil & Dals > Rice & Cereals"
Bagrry's Whey Protein Chocolate Muesli with Almonds ( 100% Whole Oats),Breakfast & Sauces > Breakfast Cereals
Henko Matic Top Load Detergent,Cleaning Essentials > Laundry Detergents
Popular Essentials HMT Kolam Steam,"Atta, Rice, Oil & Dals > Rice & Cereals"
Amul Cheese Slices,"Dairy, Bread & Eggs > Butter & Cheese"
Dove Cream Beauty Bar - Soft Smooth Moisturised Skin,Bath & Body > Soaps
Tresemme Keratin Smooth Conditioner,Bath & Body > Shampoo & Conditioner
Blue Tokai Easy Pour (Light to Dark Roast),"Tea, Coffee & More > Coffee"
I-activ Menstrual Cup (Small) with Reusable Jute Bag,Hygiene & Grooming > Feminine Hygiene
Mamaearth Onion Hair Oil,Bath & Body > Hair Oil & Serums
Gillette Mach 3 Shaving Razor + 1 Shaving Blade (Cartridge),Hygiene & Grooming > Men's Grooming
Baskin Robbins Mississippi Mud Ice Cream,Sweet Cravings > Ice Creams
Livon Serum For Dry & Rough Hair For 24 Hour Frizz-Free Smoothness,Bath & Body > Hair Oil & Serums
Baskin Robbins Gold Medal Ribbon Ice Cream,Sweet Cravings > Ice Creams
Cadbury Celebrations Premium Assorted Chocolate Gift Pack,Sweet Cravings > Chocolates
Godrej Yummiez Nuggets - Chicken,Packaged Food > Non Veg - Frozen
Nestle Lactogen Stage 1 Infant Formula,Packaged Food > Baby Food
Vansaar Ashwagandha Ginger Juice Ayurvedic Formulation To Reduces Stress & Nxiety Helps Aid Sound Sleep,Health & Baby Care > Vitamins & Digestive care
Brooke Bond 3 Roses Dust Tea,"Tea, Coffee & More > Tea"
Boost Nutrition Drink - Health Energy & Sports,"Tea, Coffee & More > Health Drink Mixes"
Ariel Matic Top Load Liquid Detergent,Cleaning Essentials > Laundry Detergents
Lindt Chocolate - Excellence Bar Sea Salt,Sweet Cravings > Chocolates
Lindt Excellence 85 % Cocoa Robust Dark Chocolate,Sweet Cravings > Chocolates
Neutrogena Hydro Boost Water Gel Blue,Bath & Body > Face & Body Creams
Lindt Excellence 70 % Cocoa Dark Chocolate,Sweet Cravings > Chocolates
Popular Essentials Super Sona Masuri Raw Rice,"Atta, Rice, Oil & Dals > Rice & Cereals"
Plush 5-Blade Body Razor with Lubricating Strip,Hygiene & Grooming > Hair Removal & Make up
Baskin Robbins Honey Nut Crunch  Ice Cream,Sweet Cravings > Ice Creams
Organic India Wheat Grass,Health & Baby Care > Vitamins & Digestive care
Baskin Robbins Premium Black Currant Ice Cream,Sweet Cravings > Ice Creams
Rin Detergent Powder,Cleaning Essentials > Laundry Detergents
Baskin-Robbins Ice Cream - Cotton Candy,Sweet Cravings > Ice Creams
Regency Dry Apricots (Jardalu),"Masala, Dry Fruits & More > Dry Fruits & Seeds"
Tata Tea Chakra Gold,"Tea, Coffee & More > Tea"
Ariel Complete Detergent Washing Powder 1 kg + 500 g Free,Cleaning Essentials > Laundry Detergents
India Kings Gold Cigarette,Paan Corner > Cigarettes
Plush Foldable Face Razor,Hygiene & Grooming > Hair Removal & Make up
Nestle Lactogen Stage 2 Follow-up Formula Powder,Packaged Food > Baby Food
Horlicks Health & Nutrition Classic Malt 750g Refill Pack,"Tea, Coffee & More > Health Drink Mixes"
Lizol All In1 Disinfectant Surface Cleaner Citrus,Cleaning Essentials > Household Cleaners
Oye Happy - Tiny Love Magnets,Home Needs > Home Utility
Borges Canola Oil Pet Bottle,"Atta, Rice, Oil & Dals > Oil"
boAt Aux500 1.5 M Aux Cable (Black One Cable),Home Needs > Electricals
boAt A400-1M 1 M Usb Type C Cable (Compatible With Type C Port Grey),Home Needs > Electricals
Lizol Disinfectant Surface & Floor Cleaner Liquid Floral,Cleaning Essentials > Household Cleaners
V Wash Plus Expert Intimate Hygiene,Hygiene & Grooming > Feminine Hygiene
Levista Strong Instant Coffee,"Tea, Coffee & More > Coffee"
Saffola Masala Oats Veggie Twist,Breakfast & Sauces > Breakfast Cereals
Scotch Brite Sponge Wipe,Home Needs > Cleaning Aids
Saffola Honey – 100% Pure,Breakfast & Sauces > Honey & Spreads
Mapro Blueberry Crush,Cold Drinks & Juices > Instant Drink Mixes
Hit Cockroach Killer Spray,Cleaning Essentials > Repellents
Borges Extra Virgin Olive Oil,"Atta, Rice, Oil & Dals > Oil"
Whisper Sanitary Pads - XL+ Wings Ultra Overnight,Hygiene & Grooming > Feminine Hygiene
Whisper Sanitary Pads - XL+ Wings Ultra Overnight,Hygiene & Grooming > Feminine Hygiene
Cadbury Celebrations Silk Special Edition,Sweet Cravings > Chocolates
Delight Nuts Almond Natural,"Masala, Dry Fruits & More > Dry Fruits & Seeds"
Lakme 9 to 5 Complexion Care Face Cream Bronze,Bath & Body > Face & Body Creams
Nuttero Apricot Dry Fruit,Fruits & Vegetables > Dried & Dehydrated Fruits
Baskin-Robbins Very Berry Strawberry Mega Saver Pack,Sweet Cravings > Ice Creams
Mamy Poko Pant Extra Absorb Diapers XXL,Health & Baby Care > Diapers & Wipes
Kellogg's No Added Sugar Muesli,Breakfast & Sauces > Breakfast Cereals
Popular Essentials Sona Masoori Steam Rice,"Atta, Rice, Oil & Dals > Rice & Cereals"
Bombay Shaving Company Defender For Her Razor For Women,Hygiene & Grooming > Hair Removal & Make up
Noto Vegan Mango & Raspberry,Sweet Cravings > Ice Creams
Complan Nutrition and Health Drink Royale Chocolate (Carton),"Tea, Coffee & More > Health Drink Mixes"
Ferrero Nutella Hazeulnut Spread,Breakfast & Sauces > Honey & Spreads
Popular Essentials Rozana Sona Masuri Raw Rice,"Atta, Rice, Oil & Dals > Rice & Cereals"
Nivea Body Lotion Aloe Hydration For Normal Skin,Bath & Body > Face & Body Creams
Conscious Food Sesame Oil Organic Cold Pressed,"Atta, Rice, Oil & Dals > Oil"
Farmley California Extra Light Halves Walnut Kernels Farmley Monocarton,"Masala, Dry Fruits & More > Dry Fruits & Seeds"
Nescafe Sunrise Instant Coffee,"Tea, Coffee & More > Coffee"
Kapiva Wild Giloy Juice,Health & Baby Care > Vitamins & Digestive care
Olay Luminous Whip,Bath & Body > Face & Body Creams
Nutraj Gold Almond Kernels Pouch,"Masala, Dry Fruits & More > Dry Fruits & Seeds"
The Brooklyn Creamery Vegan Acai Berry Banana,Sweet Cravings > Ice Creams
Papacream Icecream -  Strawberry Cheesecake,Sweet Cravings > Ice Creams
Happilo Premium Californian Roasted and Salted Pistachios,Munchies > Dry Fruits & Nuts
Happilo Premium Afghani Anjeer,"Masala, Dry Fruits & More > Dry Fruits & Seeds"
Happilo Premium Toasted and Salted Cashews,"Masala, Dry Fruits & More > Dry Fruits & Seeds"
BRU Instant Coffee,"Tea, Coffee & More > Coffee"
Harpic Disinfectant Toilet Cleaner Liquid Original,Cleaning Essentials > Household Cleaners
Whisper Ultra Clean XL+ Sanitary Pad,Hygiene & Grooming > Feminine Hygiene
MamyPoko Pants Standard Diapers Large,Health & Baby Care > Diapers & Wipes
So Soft Tissue Roll 4 in1 340 Pulls,Home Needs > Tissues & Disposables
Sofy AntiBacteria Extra Long Sanitary Pads,Hygiene & Grooming > Feminine Hygiene
Dettol Antiseptic Liquid,Health & Baby Care > Wound Care & Pain
Kellogg's Chocos,Breakfast & Sauces > Breakfast Cereals
Marlboro Gold Light,Paan Corner > Cigarettes
TGFC Basa Fillets,"Meats, Fish & Eggs > Fish & Sea Food"
Bagrry's Crunchy No Added Sugar 0% Diet Muesli with High Fibre|100% Vegan & Plant Based,Breakfast & Sauces > Breakfast Cereals
Classic Balanced Taste Cigarette (Classic Mild),Paan Corner > Cigarettes
Marlboro Red,Paan Corner > Cigarettes
Gold Flake King Blue Cigarette,Paan Corner > Cigarettes
Classic Refined Taste Cigarette (Ultra Mild),Paan Corner > Cigarettes
Classic Low Smell Cigarette,Paan Corner > Cigarettes
WOW Life Science Organic Apple Cider Vinegar,Health & Baby Care > Vitamins & Digestive care
Kelloggs Muesli - With 22% Fruit Magic,Breakfast & Sauces > Breakfast Cereals
Marlboro Gold Advanced,Paan Corner > Cigarettes
Red Label Natural Care Tea,"Tea, Coffee & More > Tea"
Classic Ice Burst Cigarette,Paan Corner > Cigarettes
Classic Rich Taste Cigarette (Classic Regular ),Paan Corner > Cigarettes
Disposable Masks,"Health & Baby Care > Cough, Cold & Covid Essentials"
Gold Flake Kings Red Cigarette,Paan Corner > Cigarettes
Classic Double Burst Cigarette,Paan Corner > Cigarettes
Marlboro Fuse Beyond Double Switch,Paan Corner > Cigarettes
B&H Gold Cigarette,Paan Corner > Cigarettes
boAt Micro Usb Rugged V3 Black 1.5 M Reversible Micro Usb ( Black One Cable),Home Needs > Electricals
"MamyPoko Pants Extra Absorb Diapers, New Born",Health & Baby Care > Diapers & Wipes
NESCAFÉ Classic Instant Coffee Dawn Jar,"Tea, Coffee & More > Coffee"
Lindt Swiss Classic Milk Chocolate,Sweet Cravings > Chocolates
Lakme Peach Milk Moisturizer Body Lotion,Bath & Body > Face & Body Creams
Venkys Chicken Sausages,Packaged Food > Non Veg - Frozen
Pedigree Puppy Dry Dog Food Food Chicken & Milk,Packaged Food > Pet Food
Tri-Activ Disinfectant Floor Cleaner Citrus Fragrance,Cleaning Essentials > Household Cleaners
