,prompt,response
14,"Given breadcrumb: 'Toys & Games>Arts & Crafts>Stickers'
Options: 
1. 'Toys & Games>Arts & Crafts>Drawing & Painting Supplies'
2. 'Toys & Games>Outdoor Play>Playhouses'
3. 'Toys & Games>Arts & Crafts>Clay & Dough'
4. 'Electronics>Computers & Tablets>Desktops'",'Toys & Games>Arts & Crafts>Drawing & Painting Supplies'
15,"Given breadcrumb: 'Home & Kitchen>Furniture>Living Room Furniture>Sofas & Couches'
Options: 
1. 'Home & Kitchen>Furniture>Bedroom Furniture>Beds'
2. 'Home & Kitchen>Furniture>Living Room Furniture>Coffee Tables'
3. 'Home & Kitchen>Furniture>Dining Room Furniture>Dining Tables'
4. 'Electronics>Computers & Tablets>Desktops'",'Home & Kitchen>Furniture>Living Room Furniture>Coffee Tables'
16,"Given breadcrumb: 'Clothing & Accessories>Women's Clothing>Dresses'
Options: 
1. 'Clothing & Accessories>Women's Clothing>Tops & Tees'
2. 'Clothing & Accessories>Men's Clothing>Shirts'
3. 'Clothing & Accessories>Women's Clothing>Jeans'
4. 'Electronics>Computers & Tablets>Desktops'",'Clothing & Accessories>Women's Clothing>Tops & Tees'
17,"Given breadcrumb: 'Toys & Games>Games & Accessories>Board Games'
Options: 
1. 'Toys & Games>Games & Accessories>Card Games'
2. 'Toys & Games>Dolls & Accessories>Dolls'
3. 'Toys & Games>Action Figures & Statues>Action Figures'
4. 'Electronics>Computers & Tablets>Desktops'",'Toys & Games>Games & Accessories>Card Games'
18,"Given breadcrumb: 'Beauty & Personal Care>Makeup>Lips>Lipstick'
Options: 
1. 'Beauty & Personal Care>Makeup>Face>Foundation'
2. 'Beauty & Personal Care>Makeup>Eyes>Mascara'
3. 'Beauty & Personal Care>Makeup>Lips>Lip Gloss'
4. 'Electronics>Computers & Tablets>Desktops'",'Beauty & Personal Care>Makeup>Lips>Lip Gloss'
19,"Given breadcrumb: 'Electronics>Cameras & Photography>Digital Cameras'
Options: 
1. 'Electronics>Cameras & Photography>Camera Lenses'
2. 'Electronics>TV & Home Theater>Televisions'
3. 'Electronics>Computers & Tablets>Laptops'
4. 'Home & Kitchen>Kitchen & Dining>Tableware'",'Electronics>Cameras & Photography>Camera Lenses'
20,"Given breadcrumb: 'Home & Garden>Kitchen & Dining>Cookware>Pots & Pans'
Options: 
1. 'Home & Garden>Kitchen & Dining>Cookware>Bakeware'
2. 'Home & Garden>Kitchen & Dining>Cookware>Cooking Utensils'
3. 'Home & Garden>Kitchen & Dining>Cookware>Cookware Sets'
4. 'Electronics>Computers & Tablets>Desktops'",'Home & Garden>Kitchen & Dining>Cookware>Bakeware'
21,"Given breadcrumb: 'Toys & Games>Games & Puzzles>Board Games'
Options: 
1. 'Toys & Games>Dolls & Accessories>Dolls'
2. 'Toys & Games>Games & Puzzles>Card Games'
3. 'Toys & Games>Outdoor Play Equipment>Playhouses'
4. 'Electronics>Computers & Tablets>Desktops'",'Toys & Games>Games & Puzzles>Card Games'
22,"Given breadcrumb: 'Electronics>Computers & Accessories>Laptops'
Options: 
1. 'Electronics>Computers & Accessories>Desktops'
2. 'Electronics>Computers & Accessories>Monitors'
3. 'Electronics>Computers & Accessories>Tablets'
4. 'Electronics>TV & Home Theater>Televisions'",'Electronics>Computers & Accessories>Desktops'
23,"Given breadcrumb: 'Electronics>Computers & Accessories>Monitors'
Options: 
1. 'Electronics>Computers & Accessories>Desktops'
2. 'Electronics>Computers & Accessories>Keyboards'
3. 'Electronics>Computers & Accessories>Laptops'
4. 'Home & Kitchen>Kitchen & Dining>Cookware'",'Electronics>Computers & Accessories>Desktops'
24,"Given breadcrumb: 'Electronics>Cameras & Photography>Digital Cameras'
Options: 
1. 'Electronics>Cameras & Photography>Camera Lenses'
2. 'Electronics>Cameras & Photography>Camera Accessories'
3. 'Electronics>Cameras & Photography>Film Cameras'
4. 'Electronics>Computers & Tablets>Desktops'",'Electronics>Cameras & Photography>Camera Lenses'
25,"Given breadcrumb: 'Books>Children's Books>Animals'
Options: 
1. 'Books>Children's Books>Fairy Tales, Folk Tales & Myths'
2. 'Books>Children's Books>Science, Nature & How It Works'
3. 'Books>Children's Books>Education & Reference'
4. 'Electronics>Computers & Tablets>Laptops'","'Books>Children's Books>Fairy Tales, Folk Tales & Myths'"
26,"Given breadcrumb: 'Automotive>Motorcycle & Powersports>Parts>Brakes'
Options: 
1. 'Automotive>Motorcycle & Powersports>Parts>Engines'
2. 'Automotive>Motorcycle & Powersports>Parts>Exhaust'
3. 'Automotive>Motorcycle & Powersports>Parts>Transmission & Drive Train'
4. 'Electronics>Computers & Tablets>Desktops'",'Automotive>Motorcycle & Powersports>Parts>Engines'
27,"Given breadcrumb: 'Automotive>Interior Accessories>Seat Covers & Accessories'
Options: 
1. 'Automotive>Interior Accessories>Floor Mats & Cargo Liners'
2. 'Automotive>Exterior Accessories>Covers'
3. 'Automotive>Interior Accessories>Steering Wheels & Accessories'
4. 'Electronics>Computers & Tablets>Desktops'",'Automotive>Interior Accessories>Floor Mats & Cargo Liners'
28,"Given breadcrumb: 'Sports & Outdoors>Outdoor Recreation>Camping & Hiking'
Options: 
1. 'Sports & Outdoors>Outdoor Recreation>Cycling'
2. 'Sports & Outdoors>Exercise & Fitness>Yoga'
3. 'Sports & Outdoors>Outdoor Recreation>Fishing'
4. 'Electronics>Computers & Tablets>Desktops'",'Sports & Outdoors>Outdoor Recreation>Cycling'
29,"Given breadcrumb: 'Clothing, Shoes & Jewelry>Women>Shoes>Sneakers'
Options: 
1. 'Clothing, Shoes & Jewelry>Women>Shoes>Boots'
2. 'Clothing, Shoes & Jewelry>Men>Shoes>Sneakers'
3. 'Clothing, Shoes & Jewelry>Women>Shoes>Sandals'
4. 'Electronics>Computers & Tablets>Desktops'","'Clothing, Shoes & Jewelry>Women>Shoes>Boots'"
30,"Given breadcrumb: 'Toys & Games>Arts & Crafts>Drawing & Painting Supplies'
Options: 
1. 'Toys & Games>Arts & Crafts>Stickers'
2. 'Toys & Games>Arts & Crafts>Clay & Dough'
3. 'Toys & Games>Arts & Crafts>Beading & Jewelry Making'
4. 'Electronics>Computers & Tablets>Desktops'",'Toys & Games>Arts & Crafts>Stickers'
31,"Given breadcrumb: 'Sports & Outdoors>Fitness & Sports>Yoga Mats'
Options: 
1. 'Sports & Outdoors>Fitness & Sports>Gym Equipment'
2. 'Sports & Outdoors>Outdoor Recreation>Camping & Hiking'
3. 'Sports & Outdoors>Fitness & Sports>Exercise Bands'
4. 'Electronics>Computers & Tablets>Desktops'",'Sports & Outdoors>Fitness & Sports>Gym Equipment'
32,"Given breadcrumb: 'Beauty & Personal Care>Makeup>Lips>Lipstick'
Options: 
1. 'Beauty & Personal Care>Makeup>Eyes>Mascara'
2. 'Beauty & Personal Care>Makeup>Lips>Lip Gloss'
3. 'Beauty & Personal Care>Skin Care>Face>Cleansers'
4. 'Electronics>Computers & Tablets>Desktops'",'Beauty & Personal Care>Makeup>Lips>Lip Gloss'
33,"Given breadcrumb: 'Sports & Outdoors>Outdoor Recreation>Cycling>Bikes'
Options: 
1. 'Sports & Outdoors>Outdoor Recreation>Cycling>Parts & Components'
2. 'Sports & Outdoors>Outdoor Recreation>Camping & Hiking>Tents & Shelters'
3. 'Sports & Outdoors>Outdoor Recreation>Fishing>Rods'
4. 'Electronics>Computers & Tablets>Desktops'",'Sports & Outdoors>Outdoor Recreation>Cycling>Parts & Components'
34,"Given breadcrumb: 'Grocery & Gourmet Food>Beverages>Coffee, Tea & Cocoa>Coffee'
Options: 
1. 'Grocery & Gourmet Food>Beverages>Coffee, Tea & Cocoa>Tea'
2. 'Grocery & Gourmet Food>Beverages>Water'
3. 'Grocery & Gourmet Food>Beverages>Alcoholic Beverages'
4. 'Electronics>Computers & Tablets>Desktops'","'Grocery & Gourmet Food>Beverages>Coffee, Tea & Cocoa>Tea'"
35,"Given breadcrumb: 'Automotive>Motorcycle & Powersports>Parts>Brakes'
Options: 
1. 'Automotive>Motorcycle & Powersports>Parts>Engine'
2. 'Automotive>Motorcycle & Powersports>Parts>Exhaust'
3. 'Automotive>Motorcycle & Powersports>Parts>Drive Train'
4. 'Electronics>Computers & Tablets>Desktops'",'Automotive>Motorcycle & Powersports>Parts>Engine'
36,"Given breadcrumb: 'Beauty & Personal Care>Skin Care>Face>Cleansers'
Options: 
1. 'Beauty & Personal Care>Skin Care>Face>Moisturizers'
2. 'Beauty & Personal Care>Makeup>Eyes>Mascara'
3. 'Beauty & Personal Care>Skin Care>Body>Moisturizers'
4. 'Electronics>Computers & Tablets>Desktops'",'Beauty & Personal Care>Skin Care>Face>Moisturizers'
37,"Given breadcrumb: 'Grocery & Gourmet Food>Beverages>Coffee, Tea & Cocoa>Coffee'
Options: 
1. 'Grocery & Gourmet Food>Beverages>Coffee, Tea & Cocoa>Tea'
2. 'Grocery & Gourmet Food>Beverages>Water'
3. 'Grocery & Gourmet Food>Beverages>Juices'
4. 'Electronics>Computers & Tablets>Desktops'","'Grocery & Gourmet Food>Beverages>Coffee, Tea & Cocoa>Tea'"
38,"Given breadcrumb: 'Sports & Outdoors>Outdoor Recreation>Camping & Hiking>Sleeping Bags'
Options: 
1. 'Sports & Outdoors>Outdoor Recreation>Camping & Hiking>Tents'
2. 'Sports & Outdoors>Outdoor Recreation>Camping & Hiking>Backpacks & Bags'
3. 'Sports & Outdoors>Outdoor Recreation>Camping & Hiking>Camp Kitchen'
4. 'Electronics>Computers & Tablets>Desktops'",'Sports & Outdoors>Outdoor Recreation>Camping & Hiking>Tents'
39,"Given breadcrumb: 'Electronics>Computers & Accessories>Laptops'
Options: 
1. 'Electronics>Computers & Accessories>Tablets'
2. 'Electronics>Cell Phones & Accessories>Cell Phones'
3. 'Electronics>TV & Home Theater>Televisions'
4. 'Home & Kitchen>Kitchen & Dining>Cookware'",'Electronics>Computers & Accessories>Tablets'
40,"Given breadcrumb: 'Toys & Games>Games & Puzzles>Board Games'
Options: 
1. 'Toys & Games>Games & Puzzles>Card Games'
2. 'Toys & Games>Dolls & Accessories>Dolls'
3. 'Toys & Games>Outdoor Play>Playhouses'
4. 'Electronics>Computers & Tablets>Desktops'",'Toys & Games>Games & Puzzles>Card Games'
41,"Given breadcrumb: 'Clothing, Shoes & Jewelry>Men>Clothing>Shirts>T-Shirts'
Options: 
1. 'Clothing, Shoes & Jewelry>Men>Clothing>Pants'
2. 'Clothing, Shoes & Jewelry>Men>Shoes>Athletic'
3. 'Clothing, Shoes & Jewelry>Men>Clothing>Shirts>Polos'
4. 'Electronics>Computers & Tablets>Desktops'","'Clothing, Shoes & Jewelry>Men>Clothing>Shirts>Polos'"
42,"Given breadcrumb: 'Sports & Outdoors>Outdoor Recreation>Camping & Hiking>Sleeping Bags'
Options: 
1. 'Sports & Outdoors>Outdoor Recreation>Camping & Hiking>Tents'
2. 'Sports & Outdoors>Outdoor Recreation>Cycling>Bikes'
3. 'Sports & Outdoors>Fitness>Yoga>Mats'
4. 'Electronics>Computers & Tablets>Desktops'",'Sports & Outdoors>Outdoor Recreation>Camping & Hiking>Tents'
43,"Given breadcrumb: 'Electronics>Audio>Headphones>Over-Ear Headphones'
Options: 
1. 'Electronics>Audio>Headphones>In-Ear Headphones'
2. 'Electronics>Audio>Home Audio>Theater Systems'
3. 'Electronics>Audio>Headphones>Earbuds'
4. 'Home & Kitchen>Kitchen & Dining>Cookware'",'Electronics>Audio>Headphones>In-Ear Headphones'
44,"Given breadcrumb: 'Automotive>Motorcycle & Powersports>Parts>Brakes'
Options: 
1. 'Automotive>Motorcycle & Powersports>Parts>Engines'
2. 'Automotive>Motorcycle & Powersports>Riding Gear'
3. 'Automotive>Motorcycle & Powersports>Parts>Exhaust'
4. 'Electronics>Computers & Tablets>Desktops'",'Automotive>Motorcycle & Powersports>Parts>Engines'
45,"Given breadcrumb: 'Health & Household>Health Care>First Aid>Antibiotics & Antiseptics'
Options: 
1. 'Health & Household>Health Care>First Aid>Bandages & Bandaging Supplies'
2. 'Health & Household>Health Care>First Aid>Defibrillators'
3. 'Health & Household>Health Care>First Aid>Ointments'
4. 'Electronics>Computers & Tablets>Desktops'",'Health & Household>Health Care>First Aid>Bandages & Bandaging Supplies'
46,"Given breadcrumb: 'Electronics>Computers & Accessories>Laptop Accessories>Batteries'
Options: 
1. 'Electronics>Computers & Accessories>Laptop Accessories>Chargers & Adapters'
2. 'Electronics>Computers & Accessories>Monitors'
3. 'Electronics>Computers & Accessories>Computer Components'
4. 'Home & Kitchen>Kitchen & Dining>Tableware'",'Electronics>Computers & Accessories>Laptop Accessories>Chargers & Adapters'
47,"Given breadcrumb: 'Toys & Games>Arts & Crafts>Clay & Dough'
Options: 
1. 'Toys & Games>Arts & Crafts>Stickers'
2. 'Toys & Games>Arts & Crafts>Painting'
3. 'Toys & Games>Arts & Crafts>Drawing & Sketching Tablets'
4. 'Electronics>Computers & Tablets>Desktops'",'Toys & Games>Arts & Crafts>Painting'
48,"Given breadcrumb: 'Beauty & Personal Care>Hair Care>Shampoos'
Options: 
1. 'Beauty & Personal Care>Hair Care>Conditioners'
2. 'Beauty & Personal Care>Makeup>Lips'
3. 'Beauty & Personal Care>Hair Care>Styling Tools & Appliances'
4. 'Electronics>Computers & Tablets>Desktops'",'Beauty & Personal Care>Hair Care>Conditioners'
49,"Given breadcrumb: 'Toys & Games>Arts & Crafts>Stickers'
Options: 
1. 'Toys & Games>Arts & Crafts>Drawing & Painting Supplies'
2. 'Toys & Games>Games>Board Games'
3. 'Toys & Games>Dolls & Accessories>Dolls'
4. 'Electronics>Computers & Tablets>Desktops'",'Toys & Games>Arts & Crafts>Drawing & Painting Supplies'
50,"Given breadcrumb: 'Grocery & Gourmet Food>Beverages>Coffee>Ground Coffee'
Options: 
1. 'Grocery & Gourmet Food>Beverages>Coffee>Whole Bean Coffee'
2. 'Grocery & Gourmet Food>Beverages>Coffee>Instant Coffee'
3. 'Grocery & Gourmet Food>Beverages>Tea>Green'
4. 'Electronics>Computers & Tablets>Desktops'",'Grocery & Gourmet Food>Beverages>Coffee>Whole Bean Coffee'
51,"Given breadcrumb: 'Industrial & Scientific>Lab & Scientific Products>Lab Instruments & Equipment'
Options: 
1. 'Industrial & Scientific>Lab & Scientific Products>Lab Chemicals'
2. 'Industrial & Scientific>Lab & Scientific Products>Lab Supplies & Consumables'
3. 'Industrial & Scientific>Test, Measure & Inspect'
4. 'Electronics>Computers & Tablets>Desktops'",'Industrial & Scientific>Lab & Scientific Products>Lab Supplies & Consumables'
52,"Given breadcrumb: 'Clothing, Shoes & Jewelry>Men>Clothing>Shirts>T-Shirts'
Options: 
1. 'Clothing, Shoes & Jewelry>Men>Clothing>Pants>Casual'
2. 'Clothing, Shoes & Jewelry>Men>Clothing>Shirts>Casual Button-Down Shirts'
3. 'Clothing, Shoes & Jewelry>Women>Clothing>Dresses>Casual'
4. 'Electronics>Computers & Tablets>Desktops'","'Clothing, Shoes & Jewelry>Men>Clothing>Shirts>Casual Button-Down Shirts'"
53,"Given breadcrumb: 'Pet Supplies>Dogs>Food>Dry'
Options: 
1. 'Pet Supplies>Dogs>Food>Wet'
2. 'Pet Supplies>Dogs>Grooming'
3. 'Pet Supplies>Dogs>Health Supplies'
4. 'Electronics>Computers & Tablets>Desktops'",'Pet Supplies>Dogs>Food>Wet'
54,"Given breadcrumb: 'Automotive>Motorcycle & Powersports>Parts>Brakes'
Options: 
1. 'Automotive>Motorcycle & Powersports>Parts>Engines'
2. 'Automotive>Motorcycle & Powersports>Parts>Exhaust'
3. 'Automotive>Motorcycle & Powersports>Parts>Suspension'
4. 'Electronics>Computers & Tablets>Desktops'",'Automotive>Motorcycle & Powersports>Parts>Engines'
55,"Given breadcrumb: 'Clothing, Shoes & Jewelry>Men>Clothing>Shirts>T-Shirts'
Options: 
1. 'Clothing, Shoes & Jewelry>Men>Clothing>Pants'
2. 'Clothing, Shoes & Jewelry>Men>Clothing>Shirts>Polos'
3. 'Clothing, Shoes & Jewelry>Women>Clothing>Dresses'
4. 'Electronics>TV & Home Theater>Televisions'","'Clothing, Shoes & Jewelry>Men>Clothing>Shirts>Polos'"
56,"Given breadcrumb: 'Home & Garden>Kitchen & Dining>Small Appliances>Blenders'
Options: 
1. 'Home & Garden>Kitchen & Dining>Small Appliances>Microwaves'
2. 'Home & Garden>Kitchen & Dining>Small Appliances>Coffee Machines'
3. 'Home & Garden>Kitchen & Dining>Small Appliances>Rice Cookers'
4. 'Electronics>Computers & Tablets>Desktops'",'Home & Garden>Kitchen & Dining>Small Appliances>Microwaves'
57,"Given breadcrumb: 'Home & Kitchen>Kitchen & Dining>Bakeware>Baking Tools & Accessories'
Options: 
1. 'Home & Kitchen>Kitchen & Dining>Cookware>Pots & Pans'
2. 'Home & Kitchen>Kitchen & Dining>Small Appliances>Blenders'
3. 'Home & Kitchen>Kitchen & Dining>Bakeware>Muffin & Cupcake Pans'
4. 'Electronics>Computers & Tablets>Desktops'",'Home & Kitchen>Kitchen & Dining>Bakeware>Muffin & Cupcake Pans'
58,"Given breadcrumb: 'Health & Personal Care>Health Care>Pain Relievers'
Options: 
1. 'Health & Personal Care>Health Care>Cough & Cold'
2. 'Health & Personal Care>Health Care>First Aid'
3. 'Health & Personal Care>Health Care>Allergies'
4. 'Electronics>Computers & Tablets>Desktops'",'Health & Personal Care>Health Care>Cough & Cold'
59,"Given breadcrumb: 'Automotive>Replacement Parts>Brake System>Brake Pads'
Options: 
1. 'Automotive>Replacement Parts>Engine Cooling & Climate Control>Air Conditioning'
2. 'Automotive>Replacement Parts>Brake System>Brake Shoes'
3. 'Automotive>Replacement Parts>Filters>Air Filters'
4. 'Electronics>Computers & Tablets>Desktops'",'Automotive>Replacement Parts>Brake System>Brake Shoes'
60,"Given breadcrumb: 'Home & Kitchen>Kitchen & Dining>Small Appliances>Microwave Ovens'
Options: 
1. 'Home & Kitchen>Kitchen & Dining>Small Appliances>Blenders'
2. 'Home & Kitchen>Kitchen & Dining>Small Appliances>Toasters'
3. 'Home & Kitchen>Kitchen & Dining>Small Appliances>Slow Cookers'
4. 'Electronics>Computers & Tablets>Desktops'",'Home & Kitchen>Kitchen & Dining>Small Appliances>Blenders'
61,"Given breadcrumb: 'Clothing, Shoes & Jewelry>Men>Clothing>Shirts>T-Shirts'
Options: 
1. 'Clothing, Shoes & Jewelry>Men>Clothing>Shirts>Polos'
2. 'Clothing, Shoes & Jewelry>Men>Clothing>Pants>Casual'
3. 'Clothing, Shoes & Jewelry>Men>Shoes>Athletic>Running'
4. 'Electronics>Computers & Tablets>Desktops'","'Clothing, Shoes & Jewelry>Men>Clothing>Shirts>Polos'"
62,"Given breadcrumb: 'Sports & Outdoors>Outdoor Recreation>Camping & Hiking>Tents & Shelters'
Options: 
1. 'Sports & Outdoors>Outdoor Recreation>Camping & Hiking>Sleeping Bags & Camp Bedding'
2. 'Sports & Outdoors>Outdoor Recreation>Camping & Hiking>Camping Furniture'
3. 'Sports & Outdoors>Outdoor Recreation>Camping & Hiking>Camp Kitchen'
4. 'Electronics>Computers & Tablets>Desktops'",'Sports & Outdoors>Outdoor Recreation>Camping & Hiking>Sleeping Bags & Camp Bedding'
63,"Given breadcrumb: 'Electronics>Mobile>Accessories>Screen Protectors'
Options: 
1. 'Electronics>Mobile>Accessories>Headphones'
2. 'Electronics>Mobile>Accessories>Chargers'
3. 'Electronics>Mobile>Accessories>Phone Cases'
4. 'Electronics>Computers & Tablets>Desktops'",'ignored'
64,"Given breadcrumb: 'Beauty & Personal Care>Makeup>Eyes>Mascara'
Options: 
1. 'Beauty & Personal Care>Makeup>Eyes>Eyeliner'
2. 'Beauty & Personal Care>Makeup>Lips>Lipstick'
3. 'Beauty & Personal Care>Skin Care>Face>Cleansers'
4. 'Electronics>Computers & Tablets>Desktops'",'Beauty & Personal Care>Makeup>Eyes>Eyeliner'
65,"Given breadcrumb: 'Beauty & Personal Care>Skin Care>Face>Cleansers'
Options: 
1. 'Beauty & Personal Care>Skin Care>Face>Moisturizers'
2. 'Beauty & Personal Care>Skin Care>Body>Moisturizers'
3. 'Beauty & Personal Care>Hair Care>Shampoos'
4. 'Electronics>Computers & Tablets>Desktops'",'Beauty & Personal Care>Skin Care>Face>Moisturizers'
66,"Given breadcrumb: 'Office Products>Office & School Supplies>Education & Crafts>Teaching Materials'
Options: 
1. 'Office Products>Office & School Supplies>Education & Crafts>Adhesives'
2. 'Office Products>Office & School Supplies>Education & Crafts>Arts & Crafts Supplies'
3. 'Office Products>Office & School Supplies>Education & Crafts>Classroom Furniture'
4. 'Electronics>Computers & Tablets>Desktops'",'Office Products>Office & School Supplies>Education & Crafts>Arts & Crafts Supplies'
67,"Given breadcrumb: 'Home & Kitchen>Bedding>Blankets & Throws'
Options: 
1. 'Home & Kitchen>Bedding>Pillows'
2. 'Home & Kitchen>Bedding>Comforters & Sets'
3. 'Home & Kitchen>Bedding>Sheets & Pillowcases'
4. 'Electronics>Computers & Tablets>Desktops'",'Home & Kitchen>Bedding>Pillows'
68,"Given breadcrumb: 'Clothing, Shoes & Jewelry>Men>Clothing>Shirts>T-Shirts'
Options: 
1. 'Clothing, Shoes & Jewelry>Men>Clothing>Pants'
2. 'Clothing, Shoes & Jewelry>Men>Clothing>Shirts>Polos'
3. 'Clothing, Shoes & Jewelry>Women>Clothing>Dresses'
4. 'Electronics>Computers & Tablets>Desktops'","'Clothing, Shoes & Jewelry>Men>Clothing>Shirts>Polos'"
69,"Given breadcrumb: 'Sports & Outdoors>Fitness Equipment>Treadmills'
Options: 
1. 'Sports & Outdoors>Fitness Equipment>Exercise Bikes'
2. 'Sports & Outdoors>Fitness Equipment>Elliptical Trainers'
3. 'Sports & Outdoors>Fitness Equipment>Rowing Machines'
4. 'Electronics>Computers & Tablets>Desktops'",'Sports & Outdoors>Fitness Equipment>Exercise Bikes'
70,"Given breadcrumb: 'Home & Kitchen>Bedding>Sheets & Pillowcases'
Options: 
1. 'Home & Kitchen>Bedding>Blankets & Throws'
2. 'Home & Kitchen>Bedding>Comforters & Sets'
3. 'Home & Kitchen>Furniture>Bedroom Furniture'
4. 'Electronics>Computers & Tablets>Desktops'",'Home & Kitchen>Bedding>Blankets & Throws'
